Hersheys Kisses,Kit-Kat,After 8,Mars Bar,Milky Way,Toblerone,Snickers,Ferrerro Rocher,M&M's,Lindor Truffles,
Kit-Kat,M&M's,Milky Way,Lindor Truffles,,,,,,,
Ferrerro Rocher,After 8,Ferrerro Rocher,Milky Way,,,,,,,
Snickers,M&M's,Hersheys Kisses,Milky Way,,,,,,,
Ferrerro Rocher,Snickers,Ferrerro Rocher,Toblerone,M&M's,Hersheys Kisses,,,,,
Lindor Truffles,Milky Way,Snickers,Hersheys Kisses,After 8,,,,,,
M&M's,Mars Bar,Kit-Kat,After 8,,,,,,,
Toblerone,Snickers,Lindor Truffles,M&M's,Kit-Kat,After 8,Ferrerro Rocher,,,,
Ferrerro Rocher,Hersheys Kisses,Mars Bar,Snickers,Milky Way,Toblerone,,,,,
After 8,Toblerone,Milky Way,Kit-Kat,Snickers,,,,,,
Snickers,Milky Way,Mars Bar,M&M's,Lindor Truffles,Kit-Kat,Hersheys Kisses,Ferrerro Rocher,After 8,,
M&M's,Lindor Truffles,Ferrerro Rocher,Mars Bar,Kit-Kat,,,,,,
Toblerone,After 8,Snickers,Ferrerro Rocher,Milky Way,Hersheys Kisses,Mars Bar,Lindor Truffles,,,
Kit-Kat,Ferrerro Rocher,After 8,Hersheys Kisses,Mars Bar,,,,,,
Kit-Kat,After 8,Ferrerro Rocher,,,,,,,,
M&M's,Ferrerro Rocher,,,,,,,,,
Hersheys Kisses,Ferrerro Rocher,,,,,,,,,
After 8,Mars Bar,Hersheys Kisses,Snickers,Ferrerro Rocher,M&M's,,,,,
M&M's,Mars Bar,Milky Way,,,,,,,,
Snickers,M&M's,After 8,Lindor Truffles,Hersheys Kisses,,,,,,
